listing_id,description,room_type,host_name,last_review,price,nbhood_full,last_review_year,review_month
18823516,PRIME LOCATION/SUNLIT ROOM 2,Private Room,Andrea,2019-06-24,130,"Manhattan, Chinatown",2019,June
18823774,One bed Doorman Building Close to Park,Entire Home/Apt,Yaacov,2019-01-01,160,"Manhattan, Upper East Side",2019,January
18824754,"Sunny, private room !Sheepshead Bay Area.",Private Room,Oksana,2019-06-19,50,"Brooklyn, Sheepshead Bay",2019,June
18826104,Beautiful sunny bushwick loft,Private Room,Max,2019-01-03,73,"Brooklyn, Bushwick",2019,January
18826197,Room in 5 bedroom house with a backyard!,Private Room,Harmony,2019-05-28,85,"Brooklyn, Greenpoint",2019,May
18826370,Heights III,Private Room,Candace,2019-06-30,89,"Brooklyn, East Flatbush",2019,June
18828846,"Private Studio Apartment, Staten Island, NYC",Entire Home/Apt,Kat,2019-07-01,49,"Staten Island, Emerson Hill",2019,July
18836337,Modern Comfort,Private Room,Olvin,2019-02-25,55,"Brooklyn, Brownsville",2019,February
18836532,"Spacious Ocean-Side Studio in
Brooklyn w/Parking",Entire Home/Apt,Maria,2019-07-07,119,"Brooklyn, Bath Beach",2019,July
18837073,"Bright, Modern Apt with Hi Speed Wifi! #10222",Entire Home/Apt,Dave,2019-04-16,85,"Brooklyn, Crown Heights",2019,April
18837416,*Luxury 1 Bedrm Private Designer Home & Roofdeck*,Entire Home/Apt,Brian,2019-05-26,350,"Manhattan, West Village",2019,May
18838643,Private bedroom in West Soho/West Village,Private Room,James,2019-06-21,76,"Manhattan, SoHo",2019,June
18838909,Beautiful Seaview apt. Gated community.  Near JFK.,Entire Home/Apt,Ronn,2019-07-05,46,"Brooklyn, Canarsie",2019,July
18840683,"Quiet, 2-Bedroom Haven in hip Crown Heights",Entire Home/Apt,Saxon,2019-02-11,79,"Brooklyn, Crown Heights",2019,February
18840735,Light & Cozy SoHo Hacienda,Entire Home/Apt,Frank,2019-07-01,205,"Manhattan, SoHo",2019,July
18840866,Private Room with Private Bath Upper East Side,Private Room,Barbara,2019-05-24,190,"Manhattan, Upper East Side",2019,May
18842507,Luxury Apt Financial Dist. steps from Wall Street,Private Room,Luidmila,2019-06-30,135,"Manhattan, Financial District",2019,June
18847331,Zen Private Rm with roof access in Upper Manhattan,Private Room,Adrienne,2019-06-01,49,"Manhattan, Washington Heights",2019,June
18848869,Bedroom in a Cozy Apartment,Private Room,Tobi,2019-06-02,51,"Manhattan, Harlem",2019,June
18849349,Chelsea Studio (King bed + convertible full sofa),Entire Home/Apt,Shary,2019-05-05,149,"Manhattan, Chelsea",2019,May
18852200,Comfy Single Bedroom-Large East Village Apartment,Private Room,Paula,2019-04-29,75,"Manhattan, East Village",2019,April
18852245,Beautiful Room in Historic Hamilton Heights,Private Room,Yasmin,2019-04-30,55,"Manhattan, Harlem",2019,April
18853435,B1Cozy Room in Long Island City Great Location.,Private Room,Leo,2019-06-10,54,"Queens, Long Island City",2019,June
18855694,SOHO/NOLITA GEM (NYC's BEST LOCATION),Private Room,Joe,2019-06-12,142,"Manhattan, Nolita",2019,June
18855750,Flushing Haven (B),Private Room,Tammie,2019-06-24,50,"Queens, Flushing",2019,June
18855980,Close by La Guardia airport,Private Room,Aleida,2019-06-27,50,"Queens, East Elmhurst",2019,June
18856302,Immaculate and beautiful 2 BDR private apartment,Entire Home/Apt,Rachel,2019-06-30,109,"Brooklyn, Crown Heights",2019,June
